Section Number,Section Name,Every Project,Other section that always accompanies this one (1),Other section that always accompanies this one (2),Other section that always accompanies this one (3),"Is the project a new building,  addition/renovation or renovation?
New Building","Is the project a new building, addition/renovation or renovation?
Addition/Renovation","Is the project a new building, addition/renovation or renovation?
Renovation","Does the project require demolition?
Yes","Is the project multiple stories?
Yes (New Building, Addition, Addition/Renovation)","Is the project multiple stories?
Yes (Renovation)","What are the opaque exterior materials? (Select as many as applicable)
Masonry","What are the opaque exterior materials? (Select as many as applicable)
Stone","What are the opaque exterior materials? (Select as many as applicable)
Metal Panel","What are the opaque exterior materials? (Select as many as applicable)
Fiber Cement Panel","What are the opaque exterior materials? (Select as many as applicable)
Terra Cotta","What are the opaque exterior materials? (Select as many as applicable)
Phenolic Panel","What are the opaque exterior materials? (Select as many as applicable)
EIFS","What are the opaque exterior materials? (Select as many as applicable)
Precast Concrete","What are the opaque exterior materials? (Select as many as applicable)
Cast Stone","What are the opaque exterior materials? (Select as many as applicable)
Architectural Concrete","Do you have CMU backup for the opaque exterior walls?
Yes","What are the anticipated floor finishes? (Select as many as applicable)
Carpet","What are the anticipated floor finishes? (Select as many as applicable)
Resilient Flooring","What are the anticipated floor finishes? (Select as many as applicable)
Tile","What are the anticipated floor finishes? (Select as many as applicable)
Wood","What are the anticipated floor finishes? (Select as many as applicable)
Terrazzo","Are there any special ceiling materials? (Select as many as applicable)
Acoustical Gypsum Board","Are there any special ceiling materials? (Select as many as applicable)
Acoustical Baffles","Are there any special ceiling materials? (Select as many as applicable)
Wood","Are there any special ceiling materials? (Select as many as applicable)
Metal",,,
01 32 00,Construction Progress Documentation,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 32 33,Photographic Documentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 33 00,Submittal Procedures,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 35 13,Hospital Project Procedures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 40 00,Quality Requirements,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 42 00,References,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 43 39,Mockup Requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 45 33,Code Required Special Inspections and Procedures,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 50 00,Temporary Facilities and Controls,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 56 39,Temporary Tree and Plant Protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 57 19,Temporary Environmental Controls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 57 20,Temporary Noise and Dust Mitigation,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
01 58 13,Temporary Project Identification Sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 60 00,Product Requirements,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 73 00,Execution,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 73 29,Cutting and Patching,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
01 74 19,Construction Waste Management and Disposal,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 77 00,Closeout Procedures,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 78 23,Operation and Maintenance Data,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 78 39,Project Record Documents,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 79 00,Demonstration and Training,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 81 13,Sustainable Design Requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 41 16,Structure Demolition,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
02 41 19,Selective Demolition,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
02 87 16,Bird Excrement Removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 33 00,Architectural Cast-In-Place Concrete,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
03 35 20,Stained Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 35 43,Polished Concrete Finishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 45 00,Precast Architectural Concrete,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
03 45 33,Precast Architectural Pretensioned Concrete Cladding,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
03 48 13,Precast Concrete Bollards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 48 19,Precast Concrete Stair Treads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 49 00,Glass-Fiber Reinforced Concrete (GFRC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 54 13,Gypsum Cement Underlayment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 54 16,Cement-Based Underlayment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 92 50,Concrete Repair Mortars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 01 00,Maintenance of Masonry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 01 10,Masonry Cleaning   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 01 13,Adhered Stone Masonry Veneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 01 21,Brick Masonry Repair  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 01 41,Stone Repair   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 05 23,Adjustable Concealed Lintel System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 20 00,Unit Masonry,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,
04 22 00,Concrete Unit Masonry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 23 00,Glass Unit Masonry   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 26 13,Masonry Veneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 42 00,Exterior Stone Cladding   ,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
04 43 13,Anchored Stone Masonry Veneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 72 00,Cast Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 73 00,Manufactured Stone Masonry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 73 13,Calcium Silicate Masonry Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 78 00,Thin Brick Siding System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 01 71,Decorative Metal Cleaning   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 12 13,Architecturally Exposed Structural Steel Framing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 43 00,Slotted Chanel Framing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 45 23,Healthcare Metal Supports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 50 00,Metal Fabrications,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 50 05,Steel Pipe Bollard ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 51 13,Metal Pan Stairs,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
05 51 15,Decorative Metal Stairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 51 16,Metal Floor Plate Stairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 51 19,Metal Grating Stairs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 51 33,Inclined Metal Ladders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 51 36,Metal Grate Catwalks ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 52 13,Steel Pipe and Tube Railings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 52 14,Aluminum Pipe and Tube Railings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 52 16,Stainless Steel Pipe and Tube Railings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 52 20,Vehicular Barrier Cable System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 53 13,Bar Gratings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 53 16,Plank Gratings ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 53 19,Expanded Metal  Gratings ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 58 13,Column Covers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 70 00,Decorative Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 71 00,Decorative Metal Stairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 71 13,Fabricated Metal Spiral Stairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 73 00,Decorative Metal Railings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 73 13,Glazed Decorative Metal Railings ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 73 16,Wire Rope Decorative Metal Railings ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 74 03,Retractable Bollards ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 75 00,Decorative Formed Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 10 53,Miscellaneous Rough Carpentry,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 15 33,Wood Patio Decking   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 16 00,Sheathing     ,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 20 13,Exterior Finish Carpentry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 20 23,Interior Finish Carpentry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 40 13,Exterior Architectural Woodwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 40 23,Interior Architectural Woodwork,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 41 13,Wood-Veneer-Faced Architectural Cabinets,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 41 16,Plastic-Laminate-Faced Architectural Cabinets,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 42 14,Stile and Rail Wood Paneling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 42 16,Wood Veneer Paneling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 42 19,Plastic Laminate Faced Wood Paneling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 42 23,Solid MDF Paneling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 44 00,Ornamental Woodwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 60 00,Decorative Plastic Fabrications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 61 16,Solid Surface Shower Surrounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 64 00,Plastic Paneling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 64 36,Fiberglass Reinforced Plastic Paneling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 71 13,Composite Recycled Paper Panels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 74 13,Fiberglass Grating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 01 50,Preparation for Re-Roofing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 01 50,Roof Removal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 01 53,Roof Modification ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 11 13,Bituminous Dampproofing     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 13 26,Self-Adhering Sheet Waterproofing,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 13 53,Elastomeric Sheet Waterproofing    ,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 13 54,Thermoplastic Sheet Waterproofing    ,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 14 13,Hot Fluid-Applied Rubberized Asphalt Waterproofing,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 14 16,Cold Fluid-Applied Waterproofing,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 16 13,Polymer Modified Cement Waterproofing,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 16 16,Crystalline Waterproofing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 16 19,Metal Oxide Waterproofing    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 17 00,Bentonite Waterproofing     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 18 00,Traffic Coatings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 19 00,Water Repellents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 21 00,Thermal Insulation,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 21 19,Foamed-In-Place Insulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 21 29,Spray-Applied Insulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 22 19,Sloped Roof Deck Insulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 24 13,Polymer-Based Exterior Insulation and Finish System (EIFS),,06 16 43,07 62 00,07 62 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 24 19,Water-Drainage Exterior Insulation and Finish System (EIFS),,06 16 43,07 62 00,07 62 10,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
07 24 20,Direct Applied Exterior Finish System (DEFS),,06 16 43,07 62 00,07 62 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 24 43,Synthetic EIF Soffit System,,,06 16 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 25 00,Weather Barriers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 26 00,Vapor Retarders     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 27 13,Modified Bituminous Sheet Air Barriers  ,,07 62 00,07 62 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 27 15,Nonbituminous Self-Adhering Sheet Air Barriers  ,,07 62 00,07 62 10,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 27 26,Fluid-Applied Membrane Air Barriers,,07 62 00,07 62 10,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 31 13,Asphalt Shingles     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 31 16,Metal Shingles     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 31 26,Slate Shingles     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 32 13,Clay Roof Tiles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 32 16,Concrete Roof Tiles    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 40 03,Expanded Mesh Cladding ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 41 13,Formed Metal Roof Panels   ,,07 71 00,07 72 00,07 62 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 41 13,Standing-Seam Metal Roof Panels,,07 71 00,07 72 00,07 62 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 41 16,Insulated Metal Roof Panels   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 42 10,Thermally Broken Wall Cladding Support System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 42 13,Formed Metal Wall Panels   ,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
07 42 13,Aluminum Composite Wall Panels,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
07 42 29,Terracotta Wall Panels ,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
07 42 43,Solid Phenolic Cladding Wall Panels,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
07 42 53,Fiber-Reinforced Cementitious Panel Cladding,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
07 42 63,Fabricated Wall Panel Assemblies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 42 93,Metal Soffit Panels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 46 16,Aluminum Siding     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 46 19,Steel Siding     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 46 24,Wood Shingle and Shake Siding  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 46 33,Plastic Siding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 46 46,Fiber-Cement Siding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 51 13,Built up Asphalt Roofing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 51 16,Built-Up Coal Tar Roofing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 52 13,Atactic-Polypropylene (APP) Modified Bituminous Membrane Roofing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 52 16,Modified Bituminous Roofing,,07 71 00,07 72 00,07 62 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 53 16,Chlorosulfonate-Polyethylene (CSPE) Roofing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 53 23,Ethylene-Propylene-Dien-Monomer (EPDM) Roofing,,07 71 00,07 72 00,07 62 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 54 16,Ketone Ethylene Ester (KEE) Roofing,,07 71 00,07 72 00,07 62 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 54 19,Polyvinyl-Chloride (PVC) Roofing,,07 71 00,07 72 00,07 62 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 54 23,Thermoplastic Polyolefin (TPO) Roofing,,07 71 00,07 72 00,07 62 00,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 55 52,Atactic-Polypropylene (APP) Modified Bituminous Protected Membrane Roofing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 55 56,Vegetated Protected Membrane Roofing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 57 00,Coated Foamed Roofing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 61 00,Sheet Metal Roofing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 62 00,Sheet Metal Flashing and Trim,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 62 10,Flexible Flashings,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 65 11,Silicone Sheet Transition Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 66 00,Liquid Flashings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 71 00,Roof Specialties,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 71 29,Manufactured Roof Expansion Joints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 72 00,Roof Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 72 36,Smoke Relief Vents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 72 53,Snow Guards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 72 63,Grease Containment Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 72 73,Vegetated Roof Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 76 00,Roof Terrace Pavers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 81 00,Applied Fire Protection,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 81 23,Intumescent Fire Protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 81 33,Mineral Fiber Fire Protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 82 00,Board Fire Protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 84 13,Penetration Firestopping,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 84 43,Joint Firestopping,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 87 03,Smoke Containment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 91 00,Preformed Joint Seals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 92 00,Joint Sealants,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 92 19,Acoustical Joint Sealants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 95 00,Expansion Control,,07 95 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 95 13,Interior Expansion Joint Cover Assemblies,,07 95 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 01 53,Wood Window Repairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 11 13,Hollow Metal Doors and Frames,x,09 91 00,08 71 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 11 16,Flush Aluminum Panel Doors,,08 71 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 11 19,Stainless Steel Doors,,08 71 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 11 73,Sliding Metal Fire Doors,,09 91 00,08 71 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 12 13,Hollow Metal Frames,,09 91 00,08 71 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 12 14,Trimless Door Frames,,09 91 00,08 71 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 12 19,Interior Aluminum Doors and Frames,,08 71 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 13 16,Aluminum Terrace Doors,,08 71 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 14 16,Flush Wood Doors,,09 91 00,08 71 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 14 20,High-Impact Resistant Wood Doors,,09 91 00,08 71 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 14 33,Stile and Rail Wood Doors,,09 91 00,08 71 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 16 13,Fiberglass Doors,,09 91 00,08 71 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 16 74,Sliding Composite-Framed Glass Doors,,08 71 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 18 16,Sliding Aluminum-Framed Glass Doors,,08 71 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 31 13,Access Doors and Frames,,09 91 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 31 14,Security Access Doors and Frames,,09 91 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 31 23,Floor Doors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 33 13,Coiling Counter Doors,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 33 23,Overhead Coiling Doors,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 33 26,Overhead Coiling Grilles,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 33 36,Side Coiling Grilles,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 33 43,Overhead Coiling Smoke Curtains,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 33 44,Overhead Coiling Fire Curtains,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 34 51,Neutron/Radiation Shielding Swinging Doors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
